"status","deathDate"
"civilian",2015-03-27
"civilian",2015-03-27
"civilian",2015-03-27
"civilian",2015-03-27
"civilian",2015-03-27
"civilian",2015-03-27
"civilian",2015-03-26
"civilian",2015-03-26
"civilian",2015-03-26
"civilian",2015-03-25
"civilian",2015-03-25
"civilian",2015-03-24
"civilian",2015-03-24
"civilian",2015-03-24
"civilian",2015-03-24
"civilian",2015-03-24
"civilian",2015-03-23
"civilian",2015-03-22
"civilian",2015-03-22
"civilian",2015-03-22
"civilian",2015-03-22
"civilian",2015-03-22
"civilian",2015-03-21
"civilian",2015-03-21
"civilian",2015-03-21
"civilian",2015-03-21
"civilian",2015-03-21
"civilian",2015-03-21
"civilian",2015-03-20
"civilian",2015-03-20
"civilian",2015-03-20
"civilian",2015-03-20
"civilian",2015-03-19
"civilian",2015-03-19
"civilian",2015-03-19
"civilian",2015-03-19
"civilian",2015-03-19
"civilian",2015-03-19
"civilian",2015-03-18
"civilian",2015-03-18
"civilian",2015-03-18
"civilian",2015-03-18
"civilian",2015-03-18
"civilian",2015-03-17
"civilian",2015-03-17
"civilian",2015-03-17
"civilian",2015-03-17
"civilian",2015-03-17
"civilian",2015-03-17
"civilian",2015-03-17
"civilian",2015-03-16
"civilian",2015-03-16
"civilian",2015-03-16
"civilian",2015-03-16
"civilian",2015-03-15
"civilian",2015-03-15
"civilian",2015-03-14
"civilian",2015-03-14
"civilian",2015-03-13
"civilian",2015-03-13
"civilian",2015-03-13
"civilian",2015-03-13
"civilian",2015-03-13
"civilian",2015-03-12
"civilian",2015-03-12
"civilian",2015-03-12
"civilian",2015-03-11
"civilian",2015-03-11
"civilian",2015-03-11
"civilian",2015-03-11
"civilian",2015-03-11
"civilian",2015-03-11
"civilian",2015-03-11
"civilian",2015-03-10
"civilian",2015-03-10
"civilian",2015-03-10
"civilian",2015-03-10
"civilian",2015-03-10
"civilian",2015-03-09
"civilian",2015-03-09
"civilian",2015-03-09
"civilian",2015-03-09
"civilian",2015-03-09
"civilian",2015-03-08
"civilian",2015-03-08
"civilian",2015-03-08
"civilian",2015-03-07
"civilian",2015-03-06
"civilian",2015-03-06
"civilian",2015-03-06
"civilian",2015-03-06
"civilian",2015-03-06
"civilian",2015-03-06
"civilian",2015-03-05
"civilian",2015-03-05
"civilian",2015-03-05
"civilian",2015-03-04
"civilian",2015-03-04
"civilian",2015-03-03
"civilian",2015-03-03
"civilian",2015-03-02
"civilian",2015-03-01
"civilian",2015-03-01
"civilian",2015-03-01
"civilian",2015-03-01
"civilian",2015-03-01
"civilian",2015-03-01
"civilian",2015-02-28
"civilian",2015-02-28
"civilian",2015-02-28
"civilian",2015-02-28
"civilian",2015-02-28
"civilian",2015-02-28
"civilian",2015-02-27
"civilian",2015-02-26
"civilian",2015-02-26
"civilian",2015-02-26
"civilian",2015-02-26
"civilian",2015-02-25
"civilian",2015-02-25
"civilian",2015-02-25
"civilian",2015-02-25
"civilian",2015-02-24
"civilian",2015-02-23
"civilian",2015-02-23
"civilian",2015-02-23
"civilian",2015-02-23
"civilian",2015-02-23
"civilian",2015-02-22
"civilian",2015-02-22
"civilian",2015-02-22
"civilian",2015-02-21
"civilian",2015-02-21
"civilian",2015-02-20
"civilian",2015-02-20
"civilian",2015-02-20
"civilian",2015-02-20
"civilian",2015-02-20
"civilian",2015-02-20
"civilian",2015-02-19
"civilian",2015-02-18
"civilian",2015-02-17
"civilian",2015-02-17
"civilian",2015-02-17
"civilian",2015-02-17
"civilian",2015-02-16
"civilian",2015-02-16
"civilian",2015-02-15
"civilian",2015-02-15
"civilian",2015-02-15
"civilian",2015-02-15
"civilian",2015-02-14
"civilian",2015-02-14
"civilian",2015-02-13
"civilian",2015-02-13
"civilian",2015-02-13
"civilian",2015-02-13
"civilian",2015-02-13
"civilian",2015-02-11
"civilian",2015-02-11
"civilian",2015-02-11
"civilian",2015-02-10
"civilian",2015-02-10
"civilian",2015-02-10
"civilian",2015-02-10
"civilian",2015-02-09
"civilian",2015-02-09
"civilian",2015-02-09
"civilian",2015-02-09
"civilian",2015-02-09
"civilian",2015-02-08
"civilian",2015-02-08
"civilian",2015-02-08
"civilian",2015-02-08
"civilian",2015-02-07
"civilian",2015-02-07
"civilian",2015-02-06
"civilian",2015-02-05
"civilian",2015-02-04
"civilian",2015-02-04
"civilian",2015-02-04
"civilian",2015-02-04
"civilian",2015-02-04
"civilian",2015-02-04
"civilian",2015-02-04
"civilian",2015-02-04
"civilian",NA
"civilian",2015-02-03
"civilian",2015-02-03
"civilian",2015-02-03
"civilian",2015-02-03
"civilian",2015-02-02
"civilian",2015-02-02
"civilian",2015-02-02
"civilian",2015-02-01
"civilian",2015-01-31
"civilian",2015-01-30
"civilian",2015-01-29
"civilian",2015-01-29
"civilian",2015-01-29
"civilian",2015-01-28
"civilian",2015-01-28
"civilian",2015-01-28
"civilian",2015-01-27
"civilian",2015-01-27
"civilian",2015-01-27
"civilian",2015-01-27
"civilian",2015-01-26
"civilian",2015-01-26
"civilian",2015-01-26
"civilian",2015-01-26
"civilian",2015-01-26
"civilian",2015-01-26
"civilian",2015-01-26
"civilian",2015-01-25
"civilian",2015-01-25
"civilian",2015-01-24
"civilian",2015-01-24
"civilian",2015-01-23
"civilian",2015-01-23
"civilian",2015-01-23
"civilian",2015-01-22
"civilian",2015-01-22
"civilian",2015-01-21
"civilian",2015-01-21
"civilian",2015-01-21
"civilian",2015-01-21
"civilian",2015-01-21
"civilian",2015-01-21
"civilian",2015-01-19
"civilian",2015-01-18
"civilian",2015-01-18
"civilian",2015-01-17
"civilian",2015-01-17
"civilian",2015-01-17
"civilian",2015-01-16
"civilian",2015-01-16
"civilian",2015-01-16
"civilian",2015-01-16
"civilian",2015-01-16
"civilian",2015-01-16
"civilian",2015-01-15
"civilian",2015-01-15
"civilian",2015-01-15
"civilian",2015-01-15
"civilian",2015-01-15
"civilian",2015-01-15
"civilian",2015-01-15
"civilian",2015-01-15
"civilian",2015-01-14
"civilian",2015-01-14
"civilian",2015-01-14
"civilian",2015-01-14
